date,open,high,low,close
1996-01-02,865.1,869.4,860.8,865.1
1996-01-03,867.3,871.7,863.0,867.3
1996-01-04,865.0,869.4,860.7,865.0
1996-01-05,860.9,865.2,856.6,860.9
1996-01-08,863.2,867.6,858.9,863.2
1996-01-09,856.2,860.5,851.9,856.2
1996-01-10,856.5,860.8,852.2,856.5
1996-01-11,841.1,845.3,836.9,841.1
1996-01-12,843.2,847.4,839.0,843.2
1996-01-15,842.0,846.2,837.8,842.0
1996-01-16,841.4,845.6,837.1,841.4
1996-01-17,855.5,859.8,851.3,855.5
1996-01-18,867.2,871.5,862.8,867.2
1996-01-19,873.2,877.6,868.8,873.2
1996-01-22,876.8,881.2,872.5,876.8
1996-01-23,875.3,879.7,871.0,875.3
1996-01-24,875.6,879.9,871.2,875.6
1996-01-25,876.8,881.2,872.4,876.8
1996-01-26,879.3,883.7,874.9,879.3
1996-01-29,875.4,879.7,871.0,875.4
1996-01-30,877.3,881.7,872.9,877.3
1996-01-31,875.0,879.4,870.7,875.0
1996-02-01,876.4,880.8,872.0,876.4
1996-02-02,881.3,885.7,876.8,881.3
1996-02-05,870.8,875.2,866.5,870.8
1996-02-06,869.2,873.6,864.9,869.2
1996-02-07,867.2,871.6,862.9,867.2
1996-02-08,856.1,860.4,851.9,856.1
1996-02-09,865.6,870.0,861.3,865.6
1996-02-12,854.4,858.6,850.1,854.4
1996-02-13,864.1,868.4,859.8,864.1
1996-02-14,850.3,854.5,846.0,850.3
1996-02-15,835.9,840.0,831.7,835.9
1996-02-16,831.7,835.9,827.6,831.7
1996-02-19,832.1,836.2,827.9,832.1
1996-02-20,834.0,838.1,829.8,834.0
1996-02-21,843.1,847.3,838.9,843.1
1996-02-22,834.8,839.0,830.7,834.8
1996-02-23,840.8,845.0,836.6,840.8
1996-02-26,823.6,827.7,819.4,823.6
1996-02-27,814.5,818.5,810.4,814.5
1996-02-28,811.5,815.6,807.5,811.5
1996-02-29,801.9,805.9,797.9,801.9
1996-03-01,804.9,809.0,800.9,804.9
1996-03-04,797.5,801.5,793.5,797.5
1996-03-05,805.4,809.4,801.3,805.4
1996-03-06,811.7,815.8,807.7,811.7
1996-03-07,805.2,809.3,801.2,805.2
1996-03-08,801.6,805.7,797.6,801.6
1996-03-11,798.6,802.6,794.6,798.6
1996-03-12,808.9,813.0,804.9,808.9
1996-03-13,800.2,804.2,796.2,800.2
1996-03-14,780.4,784.3,776.5,780.4
1996-03-15,777.3,781.2,773.4,777.3
1996-03-18,768.6,772.5,764.8,768.6
1996-03-19,757.1,760.9,753.3,757.1
1996-03-20,758.0,761.8,754.2,758.0
1996-03-21,749.8,753.5,746.0,749.8
1996-03-22,753.9,757.7,750.2,753.9
1996-03-25,744.1,747.8,740.3,744.1
1996-03-26,769.0,772.9,765.2,769.0
1996-03-27,777.7,781.6,773.8,777.7
1996-03-28,771.7,775.6,767.9,771.7
1996-03-29,765.7,769.6,761.9,765.7
1996-04-01,763.4,767.2,759.6,763.4
1996-04-02,769.6,773.4,765.7,769.6
1996-04-03,766.1,769.9,762.2,766.1
1996-04-04,757.1,760.9,753.3,757.1
1996-04-05,746.3,750.0,742.5,746.3
1996-04-08,745.6,749.4,741.9,745.6
1996-04-09,741.0,744.7,737.2,741.0
1996-04-10,744.3,748.1,740.6,744.3
1996-04-11,728.7,732.4,725.1,728.7
1996-04-12,734.1,737.8,730.5,734.1
1996-04-15,731.5,735.2,727.8,731.5
1996-04-16,719.3,722.9,715.7,719.3
1996-04-17,724.1,727.7,720.5,724.1
1996-04-18,729.7,733.3,726.0,729.7
1996-04-19,724.8,728.5,721.2,724.8
1996-04-22,729.9,733.5,726.2,729.9
1996-04-23,720.6,724.2,717.0,720.6
1996-04-24,704.6,708.1,701.1,704.6
1996-04-25,705.7,709.3,702.2,705.7
1996-04-26,701.2,704.8,697.7,701.2
1996-04-29,692.8,696.2,689.3,692.8
1996-04-30,699.9,703.4,696.4,699.9
1996-05-01,703.7,707.2,700.1,703.7
1996-05-02,718.3,721.9,714.7,718.3
1996-05-03,722.9,726.5,719.3,722.9
1996-05-06,726.6,730.3,723.0,726.6
1996-05-07,720.8,724.4,717.2,720.8
1996-05-08,705.7,709.2,702.2,705.7
1996-05-09,722.4,726.0,718.8,722.4
1996-05-10,727.0,730.7,723.4,727.0
1996-05-13,738.2,741.9,734.5,738.2
1996-05-14,729.2,732.9,725.6,729.2
1996-05-15,737.1,740.8,733.5,737.1
1996-05-16,739.2,742.9,735.5,739.2
1996-05-17,746.9,750.7,743.2,746.9
1996-05-20,749.0,752.8,745.3,749.0
1996-05-21,746.4,750.1,742.7,746.4
1996-05-22,747.7,751.4,744.0,747.7
1996-05-23,744.2,747.9,740.4,744.2
1996-05-24,749.6,753.4,745.9,749.6
1996-05-27,741.1,744.8,737.4,741.1
1996-05-28,735.1,738.8,731.4,735.1
1996-05-29,733.4,737.1,729.7,733.4
1996-05-30,737.5,741.2,733.8,737.5
1996-05-31,737.2,740.9,733.5,737.2
1996-06-03,732.9,736.6,729.3,732.9
1996-06-04,740.1,743.8,736.4,740.1
1996-06-05,743.4,747.1,739.7,743.4
1996-06-06,738.8,742.5,735.1,738.8
1996-06-07,730.2,733.8,726.5,730.2
1996-06-10,726.7,730.4,723.1,726.7
1996-06-11,721.6,725.2,718.0,721.6
1996-06-12,715.7,719.2,712.1,715.7
1996-06-13,721.1,724.7,717.5,721.1
1996-06-14,728.9,732.5,725.2,728.9
1996-06-17,726.1,729.7,722.5,726.1
1996-06-18,725.3,728.9,721.6,725.3
1996-06-19,719.1,722.7,715.5,719.1
1996-06-20,710.9,714.5,707.4,710.9
1996-06-21,716.5,720.1,713.0,716.5
1996-06-24,705.4,709.0,701.9,705.4
1996-06-25,701.0,704.5,697.5,701.0
1996-06-26,696.5,700.0,693.0,696.5
1996-06-27,699.9,703.4,696.4,699.9
1996-06-28,698.7,702.1,695.2,698.7
1996-07-01,693.0,696.4,689.5,693.0
1996-07-02,703.0,706.6,699.5,703.0
1996-07-03,714.5,718.0,710.9,714.5
1996-07-04,716.4,720.0,712.8,716.4
1996-07-05,716.5,720.1,712.9,716.5
1996-07-08,710.4,714.0,706.9,710.4
1996-07-09,709.5,713.0,705.9,709.5
1996-07-10,700.2,703.7,696.7,700.2
1996-07-11,706.8,710.3,703.3,706.8
1996-07-12,705.1,708.7,701.6,705.1
1996-07-15,698.1,701.6,694.7,698.1
1996-07-16,695.4,698.9,691.9,695.4
1996-07-17,700.0,703.5,696.5,700.0
1996-07-18,697.6,701.1,694.1,697.6
1996-07-19,691.6,695.0,688.1,691.6
1996-07-22,675.3,678.6,671.9,675.3
1996-07-23,675.2,678.6,671.8,675.2
1996-07-24,678.3,681.7,674.9,678.3
1996-07-25,675.1,678.5,671.7,675.1
1996-07-26,669.9,673.3,666.6,669.9
